"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2024","3,497.53","3,492.89","3,541.65","3,455.33","538.15K","0.12%"
"03/21/2024","3,493.23","3,514.73","3,583.02","3,413.60","638.79K","-0.61%"
"03/20/2024","3,514.73","3,165.07","3,531.37","3,063.60","1.26M","11.04%"
"03/19/2024","3,165.20","3,520.32","3,546.23","3,151.42","1.11M","-10.09%"
"03/18/2024","3,520.30","3,644.77","3,644.77","3,454.94","588.48K","-3.42%"
"03/17/2024","3,644.78","3,523.66","3,678.07","3,421.42","549.29K","3.44%"
"03/16/2024","3,523.68","3,741.16","3,778.60","3,476.82","567.02K","-5.81%"
"03/15/2024","3,741.12","3,881.70","3,931.33","3,591.51","981.71K","-3.68%"
"03/14/2024","3,883.94","4,004.30","4,009.92","3,729.51","672.52K","-3.01%"
"03/13/2024","4,004.29","3,979.30","4,078.48","3,935.60","503.46K","0.63%"
"03/12/2024","3,979.30","4,065.15","4,091.28","3,843.45","685.77K","-2.11%"
"03/11/2024","4,065.02","3,878.47","4,081.72","3,756.39","767.30K","4.81%"
"03/10/2024","3,878.47","3,905.17","3,961.94","3,793.64","372.52K","-0.68%"
"03/09/2024","3,905.17","3,883.20","3,941.34","3,872.96","265.43K","0.57%"
"03/08/2024","3,883.20","3,868.75","3,991.89","3,825.16","686.06K","0.35%"
"03/07/2024","3,869.69","3,814.56","3,932.77","3,736.33","568.32K","1.45%"
"03/06/2024","3,814.56","3,555.94","3,899.99","3,503.51","1.02M","7.27%"
"03/05/2024","3,556.03","3,626.39","3,819.79","3,237.28","1.48M","-1.94%"
"03/04/2024","3,626.34","3,488.67","3,638.10","3,445.47","769.53K","3.95%"
"03/03/2024","3,488.67","3,420.64","3,491.53","3,364.44","363.55K","1.99%"
"03/02/2024","3,420.64","3,433.51","3,459.96","3,395.03","296.91K","-0.37%"
"03/01/2024","3,433.51","3,339.25","3,449.56","3,339.24","431.98K","2.82%"
"02/29/2024","3,339.26","3,382.98","3,520.80","3,300.42","802.17K","-1.29%"
"02/28/2024","3,383.03","3,242.44","3,482.48","3,183.92","1.01M","4.35%"
"02/27/2024","3,242.14","3,175.94","3,285.01","3,165.91","674.56K","2.08%"
"02/26/2024","3,175.94","3,112.59","3,193.67","3,038.00","582.39K","2.04%"
"02/25/2024","3,112.59","2,992.29","3,117.59","2,984.29","450.78K","4.02%"
"02/24/2024","2,992.29","2,922.24","3,005.95","2,907.23","251.89K","2.40%"
"02/23/2024","2,922.24","2,972.47","2,992.80","2,906.43","441.33K","-1.69%"
"02/22/2024","2,972.46","2,971.18","3,031.76","2,907.22","595.92K","0.04%"
"02/21/2024","2,971.18","3,015.38","3,016.76","2,871.88","620.51K","-1.47%"
"02/20/2024","3,015.38","2,944.79","3,030.61","2,879.82","674.55K","2.40%"
"02/19/2024","2,944.80","2,880.16","2,983.48","2,859.82","478.68K","2.25%"
"02/18/2024","2,880.10","2,785.90","2,892.79","2,765.97","391.11K","3.38%"
"02/17/2024","2,785.90","2,801.80","2,804.17","2,721.21","251.97K","-0.57%"
"02/16/2024","2,801.80","2,822.59","2,856.76","2,759.52","401.19K","-0.74%"
"02/15/2024","2,822.59","2,775.12","2,864.41","2,760.98","520.70K","1.71%"
"02/14/2024","2,775.12","2,640.12","2,785.51","2,619.77","491.97K","5.11%"
"02/13/2024","2,640.10","2,657.91","2,686.14","2,597.15","530.99K","-0.67%"
"02/12/2024","2,657.87","2,506.69","2,663.57","2,473.54","477.42K","6.03%"
"02/11/2024","2,506.69","2,500.28","2,537.85","2,493.83","230.91K","0.26%"
"02/10/2024","2,500.28","2,486.24","2,515.95","2,472.92","194.43K","0.56%"
"02/09/2024","2,486.24","2,419.56","2,522.96","2,419.16","540.92K","2.76%"
"02/08/2024","2,419.56","2,424.66","2,461.00","2,412.01","350.33K","-0.21%"
"02/07/2024","2,424.64","2,372.65","2,443.71","2,354.46","355.40K","2.19%"
"02/06/2024","2,372.65","2,301.83","2,390.53","2,299.24","381.23K","3.08%"
"02/05/2024","2,301.83","2,289.78","2,336.63","2,271.28","244.98K","0.53%"
"02/04/2024","2,289.78","2,296.50","2,310.34","2,272.02","180.39K","-0.29%"
