"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2024","2.5421","2.5152","2.5841","2.4513","45.54M","0.96%"
"03/21/2024","2.5180","2.7484","2.7685","2.4999","51.60M","-8.38%"
"03/20/2024","2.7484","2.3829","2.8431","2.3552","94.08M","15.34%"
"03/19/2024","2.3829","2.4873","2.5984","2.1663","104.49M","-4.20%"
"03/18/2024","2.4873","2.8096","2.8806","2.4573","91.27M","-11.47%"
"03/17/2024","2.8095","2.4286","3.0168","2.3546","97.05M","15.69%"
"03/16/2024","2.4286","2.6816","2.6873","2.2837","64.89M","-9.43%"
"03/15/2024","2.6816","2.8521","2.8683","2.3596","96.18M","-5.92%"
"03/14/2024","2.8503","2.6553","2.9961","2.5426","85.78M","7.34%"
"03/13/2024","2.6553","2.6735","2.8518","2.5906","49.39M","-0.68%"
"03/12/2024","2.6735","2.7005","2.8134","2.5410","59.68M","-1.00%"
"03/11/2024","2.7005","2.7686","2.9529","2.6536","59.46M","-2.46%"
"03/10/2024","2.7686","3.0798","3.1218","2.6709","59.43M","-10.10%"
"03/09/2024","3.0798","2.7458","3.1076","2.6969","84.91M","12.16%"
"03/08/2024","2.7458","2.5779","2.9487","2.4595","106.14M","6.42%"
"03/07/2024","2.5801","2.4209","2.8487","2.4093","140.09M","6.58%"
"03/06/2024","2.4209","1.7356","2.4660","1.6969","164.73M","39.48%"
"03/05/2024","1.7357","1.7251","1.9367","1.3584","114.98M","0.62%"
"03/04/2024","1.7251","1.7721","1.9133","1.6981","76.53M","-2.65%"
"03/03/2024","1.7721","1.8004","1.9436","1.6500","73.70M","-1.57%"
"03/02/2024","1.8004","1.7238","1.9382","1.5742","91.25M","4.45%"
"03/01/2024","1.7238","1.4658","1.8309","1.4658","123.82M","17.60%"
"02/29/2024","1.4657","1.3526","1.5148","1.2864","90.43M","8.37%"
"02/28/2024","1.3525","1.0755","1.3809","1.0681","130.95M","25.76%"
"02/27/2024","1.0755","1.1153","1.1216","1.0576","41.51M","-3.57%"
"02/26/2024","1.1153","1.1035","1.1492","1.0520","56.92M","1.07%"
"02/25/2024","1.1035","1.0786","1.1394","1.0743","51.55M","2.31%"
"02/24/2024","1.0786","1.0576","1.0958","0.9806","60.83M","1.98%"
"02/23/2024","1.0576","1.1066","1.2325","1.0347","101.24M","-4.43%"
"02/22/2024","1.1066","1.1441","1.2055","1.0340","113.05M","-3.28%"
"02/21/2024","1.1441","1.0554","1.1598","0.9447","102.74M","8.40%"
"02/20/2024","1.0554","0.9775","1.0953","0.8736","126.56M","7.97%"
"02/19/2024","0.9775","0.8234","0.9947","0.8234","99.04M","18.72%"
"02/18/2024","0.8234","0.7890","0.8741","0.7818","88.58M","4.37%"
"02/17/2024","0.7889","0.7073","0.7889","0.6875","68.99M","11.55%"
"02/16/2024","0.7073","0.6532","0.7314","0.6484","73.86M","8.28%"
"02/15/2024","0.6532","0.6808","0.6875","0.6430","30.24M","-4.06%"
"02/14/2024","0.6808","0.6671","0.6857","0.6526","27.17M","2.06%"
"02/13/2024","0.6671","0.6676","0.6851","0.6494","31.19M","-0.08%"
"02/12/2024","0.6676","0.6317","0.6723","0.6227","34.37M","5.66%"
"02/11/2024","0.6318","0.6276","0.6485","0.6222","26.40M","0.68%"
"02/10/2024","0.6276","0.6082","0.6341","0.6014","30.44M","3.18%"
"02/09/2024","0.6082","0.5587","0.6160","0.5567","44.78M","8.85%"
