month,GPR,GPRT,GPRA,GPRH,GPRHT,GPRHA,SHARE_GPR,N10,SHARE_GPRH,N3H,GPRH_NOEW,GPR_NOEW,GPRH_AND,GPR_AND,GPRH_BASIC,GPR_BASIC,SHAREH_CAT_1,SHAREH_CAT_2,SHAREH_CAT_3,SHAREH_CAT_4,SHAREH_CAT_5,SHAREH_CAT_6,SHAREH_CAT_7,SHAREH_CAT_8,GPRC_ARG,GPRC_AUS,GPRC_BEL,GPRC_BRA,GPRC_CAN,GPRC_CHE,GPRC_CHL,GPRC_CHN,GPRC_COL,GPRC_DEU,GPRC_DNK,GPRC_EGY,GPRC_ESP,GPRC_FIN,GPRC_FRA,GPRC_GBR,GPRC_HKG,GPRC_HUN,GPRC_IDN,GPRC_IND,GPRC_ISR,GPRC_ITA,GPRC_JPN,GPRC_KOR,GPRC_MEX,GPRC_MYS,GPRC_NLD,GPRC_NOR,GPRC_PER,GPRC_PHL,GPRC_POL,GPRC_PRT,GPRC_RUS,GPRC_SAU,GPRC_SWE,GPRC_THA,GPRC_TUN,GPRC_TUR,GPRC_TWN,GPRC_UKR,GPRC_USA,GPRC_VEN,GPRC_VNM,GPRC_ZAF,GPRHC_ARG,GPRHC_AUS,GPRHC_BEL,GPRHC_BRA,GPRHC_CAN,GPRHC_CHE,GPRHC_CHL,GPRHC_CHN,GPRHC_COL,GPRHC_DEU,GPRHC_DNK,GPRHC_EGY,GPRHC_ESP,GPRHC_FIN,GPRHC_FRA,GPRHC_GBR,GPRHC_HKG,GPRHC_HUN,GPRHC_IDN,GPRHC_IND,GPRHC_ISR,GPRHC_ITA,GPRHC_JPN,GPRHC_KOR,GPRHC_MEX,GPRHC_MYS,GPRHC_NLD,GPRHC_NOR,GPRHC_PER,GPRHC_PHL,GPRHC_POL,GPRHC_PRT,GPRHC_RUS,GPRHC_SAU,GPRHC_SWE,GPRHC_THA,GPRHC_TUN,GPRHC_TUR,GPRHC_TWN,GPRHC_UKR,GPRHC_USA,GPRHC_VEN,GPRHC_VNM,GPRHC_ZAF,var_name,var_label
1/1/2018,92.43,107.64,75.67,69.34,85.86,59.45,2.77,23050,2.50,6636,109.91,143.00,56.18,122.08,153.70,122.09,0.27,0.05,0.99,0.68,0.27,0.32,0.42,0.56,0.00,0.09,0.19,0.05,0.16,0.07,0.02,0.69,0.03,0.43,0.03,0.11,0.06,0.01,0.45,0.72,0.05,0.04,0.04,0.18,0.28,0.10,0.25,0.72,0.09,0.04,0.09,0.05,0.02,0.05,0.10,0.00,1.03,0.31,0.09,0.04,0.02,0.43,0.04,0.10,2.20,0.10,0.03,0.04,0.00,0.11,0.14,0.02,0.11,0.12,0.02,0.57,0.05,0.30,0.03,0.14,0.00,0.00,0.53,0.45,0.02,0.03,0.11,0.15,0.27,0.05,0.15,0.57,0.14,0.03,0.08,0.03,0.05,0.06,0.02,0.00,1.04,0.24,0.11,0.05,0.03,0.56,0.02,0.11,2.46,0.11,0.09,0.06,,
2/1/2018,64.49,74.68,52.00,58.21,77.45,44.60,1.93,21506,2.10,6524,106.94,114.47,49.08,104.21,127.96,89.95,0.26,0.06,0.94,0.28,0.17,0.23,0.38,0.35,0.02,0.03,0.22,0.04,0.07,0.02,0.01,0.29,0.02,0.30,0.02,0.08,0.04,0.00,0.31,0.67,0.01,0.01,0.00,0.08,0.25,0.10,0.13,0.38,0.05,0.01,0.03,0.02,0.01,0.01,0.06,0.00,0.74,0.14,0.06,0.05,0.02,0.41,0.02,0.11,1.59,0.03,0.01,0.00,0.02,0.05,0.06,0.02,0.08,0.03,0.00,0.38,0.03,0.26,0.02,0.14,0.03,0.00,0.40,0.38,0.00,0.00,0.00,0.08,0.34,0.05,0.14,0.34,0.08,0.00,0.00,0.02,0.02,0.00,0.05,0.00,0.92,0.15,0.09,0.03,0.00,0.48,0.05,0.12,2.08,0.02,0.03,0.02,,
3/1/2018,111.96,146.93,64.56,76.14,105.13,54.73,3.36,24954,2.75,7209,126.17,164.52,58.24,151.00,166.72,141.12,0.46,0.03,1.46,0.76,0.08,0.46,0.28,0.39,0.03,0.15,0.24,0.11,0.34,0.16,0.03,0.95,0.03,0.70,0.03,0.15,0.05,0.04,0.66,1.55,0.07,0.04,0.04,0.13,0.23,0.17,0.48,0.98,0.17,0.10,0.07,0.07,0.03,0.06,0.18,0.04,1.42,0.25,0.09,0.03,0.03,0.23,0.06,0.30,2.75,0.06,0.03,0.04,0.06,0.15,0.22,0.12,0.15,0.06,0.04,0.78,0.01,0.51,0.01,0.11,0.07,0.01,0.76,0.86,0.06,0.04,0.00,0.10,0.33,0.11,0.37,0.93,0.19,0.06,0.04,0.03,0.04,0.00,0.15,0.00,1.39,0.24,0.08,0.01,0.01,0.24,0.01,0.39,2.73,0.08,0.10,0.00,,
4/1/2018,123.26,146.40,94.31,76.40,99.28,64.76,3.70,23153,2.76,6930,124.59,155.60,60.93,153.29,158.90,127.32,0.45,0.04,1.30,0.55,0.06,0.43,0.58,0.43,0.01,0.05,0.17,0.04,0.16,0.14,0.00,1.11,0.01,0.55,0.01,0.11,0.02,0.00,1.02,1.66,0.17,0.00,0.01,0.15,0.64,0.06,0.33,0.92,0.12,0.03,0.03,0.00,0.02,0.02,0.03,0.02,1.77,0.44,0.05,0.02,0.01,0.39,0.05,0.21,3.36,0.11,0.01,0.02,0.01,0.04,0.14,0.06,0.04,0.04,0.01,0.68,0.01,0.39,0.00,0.13,0.01,0.01,0.79,0.78,0.03,0.00,0.03,0.13,0.65,0.01,0.19,0.72,0.22,0.07,0.09,0.00,0.04,0.04,0.01,0.00,1.28,0.30,0.06,0.00,0.01,0.45,0.01,0.20,2.76,0.13,0.04,0.03,,
5/1/2018,125.67,172.22,63.22,83.75,132.52,44.98,3.77,23798,3.02,7017,129.62,165.21,59.28,141.68,162.02,119.25,0.26,0.04,1.82,1.25,0.10,0.30,0.27,0.40,0.10,0.15,0.36,0.05,0.26,0.11,0.02,1.52,0.03,0.92,0.06,0.13,0.10,0.02,0.98,1.37,0.08,0.02,0.05,0.29,0.97,0.17,0.57,1.32,0.11,0.07,0.11,0.01,0.02,0.07,0.05,0.00,1.26,0.51,0.03,0.01,0.00,0.21,0.05,0.13,3.32,0.17,0.03,0.07,0.01,0.06,0.24,0.04,0.13,0.06,0.00,1.40,0.01,0.68,0.10,0.11,0.03,0.00,0.95,0.94,0.06,0.04,0.06,0.19,0.88,0.13,0.44,1.23,0.19,0.09,0.07,0.01,0.01,0.10,0.06,0.00,0.98,0.33,0.01,0.01,0.00,0.20,0.04,0.10,2.99,0.11,0.09,0.00,,
6/1/2018,103.97,137.02,56.64,77.22,113.83,49.06,3.12,24211,2.79,7036,113.70,148.78,61.68,157.77,148.19,121.88,0.51,0.10,1.29,0.77,0.06,0.51,0.24,0.30,0.05,0.09,0.29,0.11,0.57,0.09,0.00,1.17,0.03,0.56,0.03,0.07,0.13,0.06,0.66,1.06,0.07,0.04,0.08,0.16,0.23,0.25,0.55,0.95,0.29,0.07,0.07,0.05,0.02,0.07,0.03,0.03,0.89,0.27,0.05,0.03,0.00,0.19,0.07,0.14,2.62,0.10,0.03,0.09,0.00,0.01,0.23,0.01,0.47,0.04,0.01,0.84,0.01,0.44,0.04,0.11,0.03,0.10,0.53,0.55,0.01,0.09,0.01,0.13,0.24,0.16,0.48,1.22,0.27,0.04,0.03,0.03,0.06,0.03,0.07,0.03,0.90,0.18,0.07,0.03,0.00,0.13,0.03,0.31,2.77,0.01,0.11,0.04,,
7/1/2018,110.03,129.10,84.41,68.62,88.44,54.57,3.30,23423,2.48,6868,106.62,144.79,66.05,166.81,141.41,122.30,0.31,0.00,0.95,0.67,0.10,0.48,0.39,0.29,0.07,0.11,0.58,0.06,0.39,0.09,0.01,1.02,0.03,0.67,0.07,0.07,0.06,0.50,0.51,1.11,0.03,0.06,0.03,0.18,0.34,0.15,0.38,0.67,0.11,0.02,0.05,0.04,0.01,0.00,0.10,0.01,1.14,0.20,0.08,0.04,0.01,0.24,0.00,0.27,2.69,0.06,0.05,0.04,0.01,0.03,0.42,0.03,0.26,0.00,0.01,0.58,0.00,0.42,0.04,0.09,0.01,0.57,0.31,0.44,0.01,0.07,0.04,0.16,0.39,0.07,0.29,0.70,0.16,0.04,0.04,0.07,0.00,0.01,0.07,0.00,1.00,0.20,0.09,0.04,0.04,0.20,0.01,0.32,2.48,0.01,0.17,0.03,,
8/1/2018,112.74,145.11,68.58,74.01,98.91,55.04,3.38,22327,2.67,6630,112.84,143.22,57.88,149.38,151.39,120.19,0.29,0.03,1.28,0.56,0.15,0.44,0.47,0.27,0.14,0.10,0.15,0.08,0.28,0.06,0.04,0.96,0.05,0.45,0.03,0.12,0.08,0.15,0.34,1.17,0.09,0.00,0.04,0.15,0.30,0.17,0.28,0.69,0.15,0.04,0.10,0.01,0.01,0.04,0.02,0.02,1.16,0.37,0.02,0.04,0.00,0.63,0.02,0.13,2.81,0.07,0.03,0.24,0.08,0.08,0.08,0.05,0.15,0.09,0.05,0.66,0.08,0.29,0.03,0.15,0.08,0.23,0.32,0.57,0.05,0.00,0.08,0.18,0.35,0.09,0.26,0.75,0.11,0.09,0.05,0.02,0.03,0.09,0.05,0.02,1.03,0.32,0.02,0.08,0.00,0.35,0.00,0.17,2.67,0.11,0.11,0.05,,
9/1/2018,75.05,88.62,51.16,51.75,64.29,42.44,2.25,23810,1.87,6856,84.10,115.81,45.67,130.51,108.02,97.47,0.35,0.00,0.80,0.34,0.01,0.31,0.32,0.32,0.05,0.04,0.08,0.04,0.26,0.02,0.04,0.77,0.08,0.24,0.04,0.06,0.05,0.01,0.33,0.68,0.06,0.04,0.01,0.16,0.16,0.15,0.16,0.39,0.08,0.02,0.07,0.03,0.05,0.02,0.03,0.01,0.82,0.12,0.01,0.03,0.00,0.29,0.05,0.13,1.82,0.13,0.01,0.02,0.03,0.03,0.06,0.03,0.10,0.00,0.00,0.57,0.00,0.18,0.03,0.12,0.04,0.01,0.32,0.38,0.04,0.00,0.00,0.12,0.25,0.07,0.16,0.53,0.07,0.03,0.06,0.03,0.00,0.03,0.03,0.00,0.88,0.18,0.00,0.01,0.00,0.38,0.10,0.12,1.87,0.10,0.03,0.00,,
10/1/2018,92.02,115.21,61.15,60.49,85.87,40.09,2.76,24276,2.18,7011,100.95,126.96,48.81,141.32,119.07,89.36,0.19,0.07,1.17,0.36,0.06,0.33,0.21,0.27,0.07,0.07,0.19,0.06,0.24,0.04,0.02,1.04,0.01,0.49,0.05,0.13,0.08,0.10,0.54,0.85,0.09,0.02,0.05,0.21,0.30,0.22,0.32,0.42,0.19,0.03,0.11,0.07,0.00,0.06,0.07,0.02,1.01,0.66,0.11,0.06,0.02,0.54,0.12,0.12,2.39,0.07,0.01,0.03,0.04,0.09,0.13,0.03,0.20,0.00,0.03,0.71,0.03,0.39,0.01,0.20,0.01,0.04,0.53,0.46,0.04,0.01,0.06,0.14,0.44,0.06,0.17,0.30,0.24,0.03,0.03,0.04,0.01,0.07,0.04,0.00,0.76,0.60,0.06,0.01,0.00,0.60,0.06,0.09,2.15,0.06,0.03,0.00,,
